StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/6/1,Thursday,0,157,2689,0.058,Rain,58132,33,0.21,1762,1.82,0.462,11.8,370.2675159,0.295,91,4,107,0.682,0,0,0
1010106,2017/6/2,Friday,0,111,1619,0.069,Scattered Thunderstorms,13754,12,0.108,1146,1.5,0.463,12.2,123.9099099,0.311,76,5,115,1.036,0,0,0
1010106,2017/6/3,Saturday,0,115,1839,0.063,Rain,33176,20,0.174,1659,2,0.566,11.6,288.4869565,0.271,76,6,104,0.904,1,0,0
1010106,2017/6/4,Sunday,0,338,4624,0.073,Thunderstorms,74432,45,0.133,1654,1.58,0.543,12.1,220.2130178,0.217,80,7,184,0.544,1,0,0
1010106,2017/6/5,Monday,0,208,2583,0.081,Rain,33540,20,0.096,1677,1.65,0.54,12.5,161.25,0.302,86,1,106,0.51,0,0,0
1010106,2017/6/6,Tuesday,0,180,2523,0.071,Scattered Thunderstorms,43108,35,0.194,1232,1.31,0.514,13.3,239.4888889,0.274,88,2,125,0.694,0,0,0
1010106,2017/6/7,Wednesday,0,194,2858,0.068,Thunderstorms,35106,23,0.119,1526,1.78,0.51,11.1,180.9587629,0.277,92,3,101,0.521,0,0,0
1010106,2017/6/8,Thursday,0,230,2980,0.077,Thunderstorms,61045,38,0.165,1606,1.97,0.559,9.9,265.4130435,0.286,87,4,146,0.635,0,0,0
1010106,2017/6/9,Friday,0,236,3661,0.064,Thunderstorms,52865,36,0.153,1468,1.75,0.516,11.2,224.0042373,0.271,89,5,147,0.623,0,0,0
1010106,2017/6/10,Saturday,0,331,4669,0.071,Thunderstorms,55266,35,0.106,1579,1.8,0.503,11.7,166.9667674,0.2,86,6,176,0.532,1,0,0
1010106,2017/6/11,Sunday,0,265,3907,0.068,Thunderstorms,52703,39,0.147,1351,1.77,0.562,12.2,198.8792453,0.192,86,7,195,0.736,1,0,0
1010106,2017/6/12,Monday,0,100,1825,0.055,Thunderstorms,34924,24,0.24,1455,1.88,0.493,12.9,349.24,0.302,85,1,76,0.76,0,0,0
